Category,Product,URL
foundation-makeup,Dr. Jart+ Premium Beauty Balm SPF 40,https://www.sephora.com/product/premium-beauty-balm-spf-45-P285403?icid2=products%20grid:p285403
foundation-makeup,Dior Dior Forever Matte Foundation,https://www.sephora.com/product/forever-matte-foundation-P439940?icid2=products%20grid:p439940
foundation-makeup,SEPHORA COLLECTION MicroSmooth Baked Powder Foundation,https://www.sephora.com/product/baked-foundation-face-powder-P310719?icid2=products%20grid:p310719
foundation-makeup,Dior Dior Forever Skin Glow Foundation,https://www.sephora.com/product/forever-glow-foundation-P439941?icid2=products%20grid:p439941
foundation-makeup,Smashbox Studio Skin 24 Hour Oil-Free Hydra Foundation,https://www.sephora.com/product/studio-skin-15-hour-wear-foundation-P292403?icid2=products%20grid:p292403
foundation-makeup,MAKE UP FOR EVER Ultra HD Invisible Cover Stick Foundation,https://www.sephora.com/product/ultra-hd-invisible-cover-stick-foundation-P398775?icid2=products%20grid:p398775
foundation-makeup,Bobbi Brown Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products%20grid:p427430
foundation-makeup,tarte Maracuja Hydrating Tinted Moisturizer,https://www.sephora.com/product/tarte-maracuja-tinted-hydrator-P456371?icid2=products%20grid:p456371
foundation-makeup,ILIA True Skin Serum Foundation,https://www.sephora.com/product/true-skin-serum-foundation-P429548?icid2=products%20grid:p429548
foundation-makeup,IT Cosmetics Your Skin But Better Foundation + Skincare,https://www.sephora.com/product/it-cosmetics-your-skin-but-better-foundation-skincare-P461600?skuId=2379972&icid2=products%20grid:p461600
foundation-makeup,Lancôme DUAL FINISH – Multi-tasking Longwear Powder Foundation,https://www.sephora.com/product/dual-finish-multi-tasking-longwear-powder-foundation-P54419?icid2=products%20grid:p54419
foundation-makeup,CLINIQUE Acne Solutions Liquid Makeup Foundation,https://www.sephora.com/product/acne-solutions-liquid-makeup-P259605?icid2=products%20grid:p259605
foundation-makeup,Laura Mercier Flawless Lumière Radiance-Perfecting Foundation,https://www.sephora.com/product/flawless-lumiere-radiance-perfecting-foundation-P440268?icid2=products%20grid:p440268
foundation-makeup,SEPHORA COLLECTION Perfection Mist Airbrush Foundation,https://www.sephora.com/product/perfection-mist-airbrush-foundation-P381155?icid2=products%20grid:p381155
